Date,Class,Transaction Category,Debit,Credit
06/29/2026,2006,Subject to Tax,,163.25
06/29/2026,2006,Non-Taxable Sales,,3703.77
06/29/2026,2006,3rd Party Tax Exempt,,25.74
06/29/2026,2006,Register Audit,338,
06/29/2026,2006,Sales Tax,,11.35
06/29/2026,2006,In-Store Credit Card,1974.95,
06/29/2026,2006,Online Credit card,1090.85,
06/29/2026,2006,Online Gift Card,20,
06/29/2026,2006,Online Credit Card Tips,,42.1
06/29/2026,2006,In-Store Credit Card Tips,,133.35
06/29/2026,2006,Gift Card,21.4,
06/29/2026,2006,3rd Party - DoorDash,516.16,
06/29/2026,2006,3rd Party - GrubHub,51.1,
06/29/2026,2006,3rd Party - UberEats,65.4,
06/29/2026,2006,Cash Over/Short Adjustment,0.7,
06/29/2026,2006,Register Audit Adjustment,1,
06/29/2026,2016,Subject to Tax,,223.04
06/29/2026,2016,Non-Taxable Sales,,3866.76
06/29/2026,2016,3rd Party Tax Exempt,,14.88
06/29/2026,2016,Register Audit,283,
06/29/2026,2016,Sales Tax,,14.76
06/29/2026,2016,In-Store Credit Card,2211.93,
06/29/2026,2016,Online Credit card,1147.74,
06/29/2026,2016,Online Credit Card Tips,,29
06/29/2026,2016,In-Store Credit Card Tips,,144.1
06/29/2026,2016,Gift Card,42.35,
06/29/2026,2016,3rd Party - DoorDash,543.86,
06/29/2026,2016,3rd Party - UberEats,64.42,
06/29/2026,2016,Cash Over/Short Adjustment,,0.76
06/29/2026,2017,Subject to Tax,,334.78
06/29/2026,2017,Non-Taxable Sales,,3558.8
06/29/2026,2017,3rd Party Tax Exempt,,3.36
06/29/2026,2017,Register Audit,244,
06/29/2026,2017,Sales Tax,,23.57
06/29/2026,2017,In-Store Credit Card,2103.83,
06/29/2026,2017,Online Credit card,955.54,
06/29/2026,2017,Online Gift Card,10.9,
06/29/2026,2017,Online Credit Card Tips,,38.07
06/29/2026,2017,In-Store Credit Card Tips,,172.98
06/29/2026,2017,Online Gift Card Tips,,1
06/29/2026,2017,Gift Card,31.8,
06/29/2026,2017,3rd Party - DoorDash,493.75,
