Date,Class,Transaction Category,Debit,Credit
07/01/2026,2006,Subject to Tax,,197.53
07/01/2026,2006,Non-Taxable Sales,,3767.55
07/01/2026,2006,3rd Party Tax Exempt,,18.72
07/01/2026,2006,Register Audit,157,
07/01/2026,2006,Sales Tax,,14.02
07/01/2026,2006,In-Store Credit Card,1869.13,
07/01/2026,2006,Online Credit card,1307.9,
07/01/2026,2006,Online Gift Card,12.7,
07/01/2026,2006,Online Credit Card Tips,,35
07/01/2026,2006,In-Store Credit Card Tips,,93.21
07/01/2026,2006,Online Gift Card Tips,,2
07/01/2026,2006,Gift Card,10.7,
07/01/2026,2006,3rd Party - DoorDash,591.79,
07/01/2026,2006,3rd Party - GrubHub,24.36,
07/01/2026,2006,3rd Party - UberEats,154.5,
07/01/2026,2006,Cash Over/Short Adjustment,,0.05
07/01/2026,2016,Subject to Tax,,160.28
07/01/2026,2016,Non-Taxable Sales,,5231.54
07/01/2026,2016,3rd Party Tax Exempt,,37.2
07/01/2026,2016,Register Audit,345,
07/01/2026,2016,Sales Tax,,10.85
07/01/2026,2016,In-Store Credit Card,2113.57,
07/01/2026,2016,Payout,44,
07/01/2026,2016,Online Credit card,1863.87,
07/01/2026,2016,Online Gift Card,37.2,
07/01/2026,2016,Online Credit Card Tips,,48
07/01/2026,2016,In-Store Credit Card Tips,,99.22
07/01/2026,2016,Online Gift Card Tips,,2
07/01/2026,2016,Gift Card,177.3,
07/01/2026,2016,3rd Party - DoorDash,699.26,
07/01/2026,2016,3rd Party - UberEats,278.06,
07/01/2026,2016,Cash Over/Short Adjustment,0.83,
07/01/2026,2016,Register Audit Adjustment,30,
07/01/2026,2017,Subject to Tax,,213.1
07/01/2026,2017,Non-Taxable Sales,,5050.51
07/01/2026,2017,3rd Party Tax Exempt,,45.48
07/01/2026,2017,Register Audit,285,
07/01/2026,2017,Sales Tax,,14.9
07/01/2026,2017,In-Store Credit Card,2564.38,
07/01/2026,2017,Online Credit card,1719.36,
07/01/2026,2017,Online Credit Card Tips,,72.55
07/01/2026,2017,In-Store Credit Card Tips,,182.96
07/01/2026,2017,Gift Card,76.9,
07/01/2026,2017,3rd Party - DoorDash,694.53,
07/01/2026,2017,3rd Party - GrubHub,66.47,
07/01/2026,2017,3rd Party - UberEats,172.89,
07/01/2026,2017,Cash Over/Short Adjustment,,0.03
07/01/2026,2020,Subject to Tax,,400.68
07/01/2026,2020,Non-Taxable Sales,,5095.85
07/01/2026,2020,3rd Party Tax Exempt,,21.4
07/01/2026,2020,Register Audit,825,
07/01/2026,2020,Sales Tax,,28.4
07/01/2026,2020,In-Store Credit Card,2271.06,
07/01/2026,2020,Online Credit card,1703.5,
07/01/2026,2020,Online Gift Card,10.45,
07/01/2026,2020,Online Credit Card Tips,,27
07/01/2026,2020,In-Store Credit Card Tips,,97.2
07/01/2026,2020,Gift Card,60.86,
07/01/2026,2020,3rd Party - DoorDash,799.48,
07/01/2026,2020,Cash Over/Short Adjustment,0.18,
07/01/2026,2023,Subject to Tax,,247.88
07/01/2026,2023,Non-Taxable Sales,,4959.59
07/01/2026,2023,3rd Party Tax Exempt,,29.4
07/01/2026,2023,Register Audit,474,
07/01/2026,2023,Sales Tax,,17.3
07/01/2026,2023,In-Store Credit Card,2512.51,
07/01/2026,2023,Online Credit card,1474.31,
07/01/2026,2023,Online Credit Card Tips,,28.2
07/01/2026,2023,In-Store Credit Card Tips,,161.5
07/01/2026,2023,Gift Card,66.93,
07/01/2026,2023,3rd Party - DoorDash,615,
07/01/2026,2023,3rd Party - GrubHub,55.01,
07/01/2026,2023,3rd Party - UberEats,245.67,
07/01/2026,2023,Cash Over/Short Adjustment,0.44,
07/01/2026,2024,Subject to Tax,,163.9
07/01/2026,2024,Non-Taxable Sales,,3770.5
07/01/2026,2024,3rd Party Tax Exempt,,17.16
07/01/2026,2024,Register Audit,267,
07/01/2026,2024,Sales Tax,,12.79
07/01/2026,2024,In-Store Credit Card,2093.33,
07/01/2026,2024,Online Credit card,1010.71,
07/01/2026,2024,Online Gift Card,94.8,
07/01/2026,2024,Online Credit Card Tips,,15.4
07/01/2026,2024,In-Store Credit Card Tips,,126.15
07/01/2026,2024,Gift Card,15.13,
