Date,Store,Status,Error
07/16/2026,2006,skipped,
07/16/2026,2016,skipped,
07/16/2026,2017,skipped,
07/16/2026,2020,skipped,
07/16/2026,2023,skipped,
07/16/2026,2024,skipped,
07/16/2026,2047,skipped,
07/16/2026,4003,skipped,
07/16/2026,4004,skipped,
07/16/2026,4005,skipped,
07/16/2026,4008,skipped,
07/16/2026,4009,skipped,
07/16/2026,4010,skipped,
07/16/2026,4015,skipped,
07/16/2026,4021,skipped,
07/16/2026,4025,skipped,
07/16/2026,4027,skipped,
07/16/2026,4034,skipped,
07/16/2026,4036,skipped,
07/16/2026,4042,skipped,
07/16/2026,4052,skipped,
07/16/2026,4061,skipped,
07/16/2026,4074,skipped,
07/16/2026,5042,skipped,
07/16/2026,5043,skipped,
07/16/2026,5049,skipped,
07/16/2026,5051,skipped,
07/16/2026,5057,skipped,
07/16/2026,5059,skipped,
07/16/2026,5062,skipped,
07/16/2026,5101,skipped,
07/16/2026,5112,skipped,
07/16/2026,5127,skipped,
07/16/2026,6021,skipped,
07/16/2026,6026,skipped,
07/16/2026,6032,skipped,
07/16/2026,6037,skipped,
07/16/2026,6039,skipped,
07/16/2026,6044,skipped,
07/16/2026,6065,skipped,
07/16/2026,6067,skipped,
07/16/2026,6072,skipped,
07/16/2026,6074,skipped,
07/16/2026,6076,skipped,
07/16/2026,6083,skipped,
07/16/2026,6088,skipped,
07/16/2026,6093,skipped,
07/16/2026,6094,skipped,
07/16/2026,6102,skipped,
07/16/2026,7024,skipped,
07/16/2026,7032,skipped,
07/16/2026,7039,skipped,
07/16/2026,7049,skipped,
07/16/2026,7066,skipped,
07/16/2026,13026,skipped,
07/16/2026,13062,skipped,
07/16/2026,13082,skipped,
07/16/2026,13106,skipped,
07/16/2026,13116,skipped,
07/16/2026,13138,skipped,
07/16/2026,13148,skipped,
07/16/2026,13160,skipped,
07/16/2026,13162,skipped,
07/16/2026,13219,skipped,
07/16/2026,37001,skipped,
07/16/2026,37002,skipped,
07/16/2026,37004,skipped,
07/16/2026,37006,skipped,
07/16/2026,37007,skipped,
07/16/2026,37009,skipped,
07/16/2026,37010,skipped,
07/16/2026,37013,skipped,
07/16/2026,37014,skipped,
07/16/2026,37016,skipped,
07/16/2026,37020,skipped,
07/16/2026,49001,skipped,
07/16/2026,49002,skipped,
07/16/2026,49003,skipped,
07/16/2026,49004,skipped,
07/16/2026,49005,skipped,
07/16/2026,49006,skipped,
07/16/2026,49007,skipped,
07/16/2026,49008,skipped,
07/16/2026,49009,skipped,
07/16/2026,49010,skipped,
07/16/2026,49011,skipped,
07/17/2026,2006,skipped,
07/17/2026,2016,skipped,
07/17/2026,2017,skipped,
07/17/2026,2020,skipped,
07/17/2026,2023,skipped,
07/17/2026,2024,skipped,
07/17/2026,2047,skipped,
07/17/2026,4003,skipped,
07/17/2026,4004,skipped,
07/17/2026,4005,skipped,
07/17/2026,4008,skipped,
07/17/2026,4009,skipped,
07/17/2026,4010,skipped,
07/17/2026,4015,skipped,
07/17/2026,4021,skipped,
07/17/2026,4025,skipped,
07/17/2026,4027,skipped,
07/17/2026,4034,skipped,
07/17/2026,4036,skipped,
07/17/2026,4042,skipped,
07/17/2026,4052,skipped,
07/17/2026,4061,skipped,
07/17/2026,4074,skipped,
07/17/2026,5042,skipped,
07/17/2026,5043,skipped,
07/17/2026,5049,skipped,
07/17/2026,5051,skipped,
07/17/2026,5057,skipped,
07/17/2026,5059,skipped,
07/17/2026,5062,skipped,
07/17/2026,5101,skipped,
07/17/2026,5112,skipped,
07/17/2026,5127,skipped,
07/17/2026,6021,skipped,
07/17/2026,6026,skipped,
07/17/2026,6032,skipped,
07/17/2026,6037,skipped,
07/17/2026,6039,skipped,
07/17/2026,6044,skipped,
07/17/2026,6065,skipped,
